DAY,R.F_GRID,R.F,Month
1,1.3900718,3.2,1
2,0,1.4,1
3,0,0,1
4,0,0,1
5,0,0,1
6,0,0,1
7,0,0,1
8,0,0,1
9,0,0,1
10,0,0,1
11,0,0,1
12,0,0,1
13,0,0,1
14,0,0,1
15,0,0,1
16,0,0,1
17,0,0,1
18,0,0,1
19,0,0,1
20,0,0,1
21,0,0,1
22,0,0,1
23,0,0,1
24,0,0,1
25,0,0,1
26,0,0,1
27,0,0,1
28,0,0,1
29,0,0,1
30,0,0,1
31,0,0,1
32,0,0,2
33,0,0,2
34,0,0,2
35,0,0,2
36,0,0,2
37,0,0,2
38,0,0,2
39,0,0,2
40,0,0,2
41,0,0,2
42,0,0,2
43,0,0,2
44,0,0,2
45,0,0,2
46,0,0,2
47,0,0,2
48,0,0,2
49,0,0,2
50,0,0,2
51,0,0,2
52,0,0,2
53,0,0,2
54,0,0,2
55,0,0,2
56,0,0,2
57,0,0,2
58,0,0,2
59,0,0,2
60,0,0,3
61,0,0,3
62,0,0,3
63,0,0,3
64,0,0,3
65,0,0,3
66,0,0,3
67,0,0,3
68,0,0,3
69,0,0,3
70,0,0,3
71,0,0,3
72,0,0,3
73,0,0,3
74,0,0,3
75,0,0,3
76,0,0,3
77,0,0,3
78,0,0,3
79,0,0,3
80,0,0,3
81,0,0,3
82,0,0,3
83,0,0,3
84,0,0,3
85,0,0,3
86,0,0,3
87,0,0,3
88,0,0,3
89,0,0,3
90,0,0,3
91,0,0,4
92,0,0,4
93,0,0,4
94,0,0,4
95,0,9,4
96,0,4.2,4
97,0,4.2,4
98,0,0,4
99,0,0,4
100,0,0,4
101,0,0,4
102,0,0,4
103,0,0,4
104,0,9,4
105,0,0,4
106,0,0,4
107,0,0,4
108,0,0,4
109,0,0,4
110,0,0,4
111,0,0,4
112,0,0,4
113,0,0,4
114,0,0,4
115,0,0,4
116,0,0,4
117,0,0,4
118,0,0,4
119,0,0,4
120,0,0,4
121,0,0,5
122,0,0,5
123,0,0,5
124,0,0,5
125,0,0,5
126,0,0,5
127,0,0,5
128,0,0,5
129,0,0,5
130,0,0,5
131,0,0,5
132,0,0,5
133,0,0,5
134,0,0,5
135,0,0,5
136,0,0,5
137,0,0,5
138,0,0,5
139,0,0,5
140,0,0,5
141,0,0,5
142,0.187406725,1.7,5
143,0,0,5
144,0,0,5
145,0,0,5
146,0,0,5
147,0,0,5
148,0,0,5
149,0,0,5
150,0,0,5
151,0,0,6
152,0,0,6
153,0,0,6
154,0,0,6
155,0,0,6
156,0,0,6
157,0,2,6
158,13.060645,0,6
159,9.509701,0,6
160,2.56836825,3.8,6
161,7.947496,1.5,6
162,3.4254023,7.5,6
163,2.91722425,0,6
164,0,27.1,6
165,0.675649675,3.6,6
166,12.06645625,0,6
167,4.13785325,0,6
168,2.0365845,0,6
169,4.42160725,0,6
170,0,0,6
171,1.38635535,3.6,6
172,0,0,6
173,0,0,6
174,0,0,6
175,0,0,6
176,0,0,6
177,0,0,6
178,0.03099615,5.3,6
179,1.517722325,0,6
180,0.10073745,3.5,6
181,0,0,7
182,0.257423075,4.6,7
183,0.065229,0,7
184,1.09889275,0,7
185,2.701875875,0,7
186,0.698902825,0,7
187,0.458074075,3,7
188,0.63983495,0,7
189,0.28111,2,7
190,0.526979725,1.2,7
191,3.961314625,0,7
192,1.8623334,0,7
193,1.609874,0.2,7
194,1.3576124,0,7
195,0.708321325,0,7
196,1.34792125,0,7
197,0.881022225,0,7
198,0.71570205,1.4,7
199,0.66068975,0,7
200,0.9712029,0,7
201,0.1251409,0,7
202,0.14717425,0,7
203,0,0,7
204,0.025892525,0,7
205,0.0468988,0.2,7
206,0,0,7
207,0.038745175,0,7
208,0.271120525,0,7
209,0.28111,39.6,7
210,0,0,7
211,0,0.7,7
212,0,8.7,8
213,0.622571125,7.7,8
214,0,6.4,8
215,0,8.1,8
216,0.27248975,5.5,8
217,5.8350942,0,8
218,1.527449625,6.3,8
219,16.5450775,0.8,8
220,23.4436675,1.7,8
221,0.2040499,0.2,8
222,25.43458,11.2,8
223,16.5488225,3,8
224,2.77793795,0,8
225,0.03357915,0.4,8
226,3.32458775,14.1,8
227,4.5089535,0.3,8
228,3.3111575,0,8
229,0.283307025,0,8
230,0.524261,0,8
231,0,0,8
232,0,0.4,8
233,7.172871075,0,8
234,0.069430825,0,8
235,0,0.8,8
236,0.51048935,0.8,8
237,0,0,8
238,0,0,8
239,0.049077225,0,8
240,0.225778525,0,8
241,0,0,8
242,0,0,8
243,0,0,9
244,0,0,9
245,0,0,9
246,0,3.8,9
247,0,0.4,9
248,0,1.4,9
249,0,0,9
250,0,0,9
251,1.556428,0,9
252,0.3854657,0,9
253,1.556428,0,9
254,0.62487725,0,9
255,0,0,9
256,0,0,9
257,0.319917425,26,9
258,0.086788525,0,9
259,7.863935775,46.4,9
260,19.394875,0.6,9
261,5.1753065,15.7,9
262,5.558135,0,9
263,16.100076,26.6,9
264,32.576795,0.5,9
265,8.4214925,24.4,9
266,0.153048275,0,9
267,0.232284575,0,9
268,2.16299015,59.5,9
269,26.4646125,72.6,9
270,19.994385,37.2,9
271,0,0,9
272,1.209426375,0,9
273,0,2.7,10
274,0.4993481,0,10
275,1.523843075,0,10
276,0.2621577,0,10
277,1.65746845,0,10
278,6.98741375,16.2,10
279,13.822238,12.6,10
280,26.79951,46.2,10
281,36.76449,0.6,10
282,6.68815125,0,10
283,0.9373087,40.8,10
284,22.36590445,0,10
285,0.069430825,4.4,10
286,40.9634875,2.3,10
287,1.1658362,0,10
288,0,0,10
289,0.85457685,0,10
290,0.46851675,0.6,10
291,0,0.3,10
292,0,0,10
293,0,0,10
294,0,0,10
295,0,0,10
296,0,0,10
297,0,0,10
298,0,0,10
299,0,0,10
300,0,0,10
301,0,0,10
302,0,0,10
303,0,0,10
304,0,0,11
305,0,0,11
306,0,0,11
307,0,0,11
308,0,0,11
309,0,0,11
310,0,0,11
311,0,0,11
312,0,0,11
313,0,0,11
314,0,0,11
315,0,0,11
316,0,0,11
317,0,0,11
318,0,0,11
319,0,0,11
320,0,0,11
321,0,0,11
322,0,0,11
323,0,0,11
324,0,0,11
325,0,0,11
326,0,0,11
327,0,0,11
328,0,0,11
329,0,0,11
330,0,0,11
331,0,0,11
332,0,0,11
333,0,0,11
334,0,0,12
335,0,0,12
336,0,0,12
337,0,0,12
338,0,0,12
339,0,0,12
340,0.09659905,0,12
341,0,0,12
342,0,0,12
343,0,0,12
344,0,0,12
345,0,0,12
346,0,0,12
347,0,0,12
348,0,0,12
349,0,0,12
350,0,0,12
351,0,0,12
352,0,0,12
353,0,0,12
354,0,0,12
355,0,0,12
356,0,0,12
357,0,0,12
358,0,0,12
359,0,0,12
360,0,0,12
361,0,0,12
362,0,0,12
363,0,0,12
364,0,0,12
365,0,0,12
